response_num,var,question,response,anonymized_by_respondi,flagged_by_respondi
1,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,saasd,NA,NA
2,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,"ysdfxgnchvj,bk.",NA,NA
3,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,"dsfghmj,mn",NA,NA
4,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,sagf,NA,NA
5,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,asdfsadf,NA,NA
6,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,test,NA,NA
7,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,saf,NA,NA
8,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,wajdjf fc,NA,NA
9,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,This and that,NA,NA
10,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,uwqhfu fhewf,NA,NA
11,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,ucsidvchähewqf,NA,NA
12,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,igföodkgüDkf,NA,NA
13,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,iojfje,NA,NA
14,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,test,NA,NA
15,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,test,NA,NA
16,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,asdfsdaf,NA,NA
17,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,sad,NA,NA
18,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,So einige,NA,NA
19,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,asda,NA,NA
20,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,sd,NA,NA
21,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,test,NA,NA
22,work_condi_improve_char,Can you think of any measures to alleviate these problems?,kjcsöa,NA,NA
23,work_condi_improve_char,Can you think of any measures to alleviate these problems?,asdfsadf,NA,NA
24,work_condi_improve_char,Can you think of any measures to alleviate these problems?,dfg,NA,NA
25,work_condi_improve_char,Can you think of any measures to alleviate these problems?,sad,NA,NA
26,work_condi_improve_char,Can you think of any measures to alleviate these problems?,sad,NA,NA
27,work_condi_improve_char,Can you think of any measures to alleviate these problems?,test,NA,NA
28,work_condi_improve_char,Can you think of any measures to alleviate these problems?,Nope,NA,NA
29,work_condi_improve_char,Can you think of any measures to alleviate these problems?,hvbjknlm,NA,NA
30,work_condi_improve_char,Can you think of any measures to alleviate these problems?,"Ja, da habe ich ne Idee",NA,NA
31,work_condi_improve_char,Can you think of any measures to alleviate these problems?,asgf,NA,NA
32,work_condi_improve_char,Can you think of any measures to alleviate these problems?,sfjaj,NA,NA
33,work_condi_improve_char,Can you think of any measures to alleviate these problems?,rewtthz,NA,NA
34,work_condi_improve_char,Can you think of any measures to alleviate these problems?,dfg,NA,NA
35,work_condi_improve_char,Can you think of any measures to alleviate these problems?,daCACADSC,NA,NA
36,work_condi_improve_char,Can you think of any measures to alleviate these problems?,fdkj-vsö,NA,NA
37,work_condi_improve_char,Can you think of any measures to alleviate these problems?,dfg,NA,NA
38,work_condi_improve_char,Can you think of any measures to alleviate these problems?,test,NA,NA
39,work_condi_improve_char,Can you think of any measures to alleviate these problems?,test,NA,NA
40,work_condi_improve_char,Can you think of any measures to alleviate these problems?,test,NA,NA
41,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,Maybe,NA,NA
42,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,jkjcsk,NA,NA
43,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,asdfasdf,NA,NA
44,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,test,NA,NA
45,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,hj,NA,NA
46,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,"Ja, das geht besser",NA,NA
47,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,test,NA,NA
48,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,"grdthfhu,jk",NA,NA
49,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,asgf,NA,NA
50,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,jkl,NA,NA
51,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,test,NA,NA
52,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,ghj,NA,NA
53,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,fm-lvfm,NA,NA
54,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,sad,NA,NA
55,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,test,NA,NA
56,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,sdfgvnhmb,NA,NA
57,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,saCSACA,NA,NA
58,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",jkj,NA,NA
59,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",hfijajfA,NA,NA
60,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
61,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",sgfhj,NA,NA
62,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",Nein,NA,NA
63,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",hkg,NA,NA
64,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
65,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
66,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
67,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",saf,NA,NA
68,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",asdfsadf,NA,NA
69,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",chjvkbln,NA,NA
70,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",some,NA,NA
71,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",oöjvdfjv,NA,NA
72,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",jkj,NA,NA
73,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",KHJIVJDAÖVJDA,NA,NA
74,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
75,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,DHAKHA,NA,NA
76,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,too late,NA,NA
77,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,test,NA,NA
78,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,Mehr Tests. Mehr Home Office.,NA,NA
79,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,test,NA,NA
